engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,598324.900,598324.900,9969664,253034496,224518144,504365056,5906432,181489664,176484352,181489664,181489664,535896064
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,96856.100,96856.100,224546816,253173760,224563200,504365056,176484352,181506048,176484352,181506048,181506048,535896064
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,99146.000,99146.000,224563200,253173760,224563200,504365056,176484352,181506048,176484352,181506048,181506048,535896064
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,98516.900,98516.900,224563200,253173760,224563200,504365056,176484352,181506048,176484352,181506048,181506048,535896064
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,97791.800,97791.800,224563200,253173760,224563200,504365056,176484352,181506048,176484352,181506048,181506048,535896064
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,96611.300,96611.300,224563200,253177856,224567296,504365056,176484352,181506048,176484352,181506048,181506048,535896064
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,96611.300,96611.300,224567296,253177856,224567296,504365056,176484352,181506048,176484352,181506048,181506048,535896064
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,96110.600,96110.600,224567296,253177856,224567296,504365056,176484352,181506048,176484352,181506048,181506048,535896064
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,97440.200,97440.200,224567296,253177856,224567296,504365056,176484352,181506048,176484352,181506048,181506048,535896064
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,99506.300,99506.300,224567296,224567296,unavailable,504365056,176484352,176484352,unavailable,176484352,176484352,535896064
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,100790.500,100790.500,224567296,224567296,unavailable,504365056,176484352,176484352,unavailable,176484352,176484352,535896064
