"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","291.297","310.808","320.846","320.846","15413248","15933440","4980736","6533120"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.600","14.767","32.500","32.500","12017664","13807616","4788224","6463488"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","21.000","22.800","66.100","66.100","11722752","13565952","4280320","6463488"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.450","20.300","41.100","41.100","11935744","13778944","4517888","6463488"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","683.473","693.320","720.088","720.088","16977920","17244160","6262784","6971392"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","25066.600","29777.200","32841.800","32841.800","10498048","13565952","3358720","6463488"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","25115.100","45770.100","45770.100","45770.100","10919936","13410304","3809280","6184960"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","906.295","927.686","938.741","938.741","178323456","188563456","192512000","204468224"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","25.267","26.967","27.800","27.800","177442816","188563456","191647744","204468224"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","60.600","64.900","70.400","70.400","176746496","188563456","190857216","204468224"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","44.350","47.400","49.050","49.050","176750592","188563456","190857216","204468224"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","1592.449","1617.300","1641.305","1641.305","179421184","188563456","193585152","204468224"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23173.400","23803.600","24157.600","24157.600","175837184","188563456","190066688","204468224"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23470.700","2900929.400","2900929.400","2900929.400","175521792","188563456","190062592","204468224"
