engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,45770.100,45770.100,6991872,10522624,9871360,11612160,1597440,3428352,2564096,3428352,3428352,5640192
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,25115.100,25115.100,9875456,10858496,9965568,13320192,2564096,3620864,2633728,3620864,3620864,6025216
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23930.000,23930.000,9965568,10870784,9961472,13324288,2633728,3637248,2617344,3637248,3637248,6041600
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,27088.700,27088.700,9961472,10878976,9953280,13348864,2617344,3665920,2985984,3665920,3665920,6111232
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,24921.100,24921.100,9953280,10919936,10047488,13348864,2985984,3833856,3694592,3833856,3833856,6115328
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,31060.000,31060.000,10047488,10948608,10047488,13398016,3706880,3887104,3256320,3887104,3887104,6180864
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,22003.700,22003.700,10047488,10956800,10051584,13410304,3256320,3928064,2764800,3928064,3928064,6184960
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,26338.200,26338.200,10051584,10964992,10039296,13410304,2764800,3866624,2768896,3866624,3866624,6184960
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22195.200,22195.200,10039296,10936320,10043392,13410304,2768896,3809280,2781184,3809280,3809280,6184960
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,25097.500,25097.500,10047488,10317824,unavailable,13422592,2809856,3047424,unavailable,3047424,3047424,6184960
