engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2900929.400,2900929.400,4132864,174014464,174133248,188563456,688128,189079552,189079552,189079552,189079552,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,26273.200,26273.200,174161920,175255552,173948928,188563456,189079552,189906944,188477440,189906944,189906944,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,24146.000,24146.000,173948928,175341568,175341568,188563456,188477440,190062592,190062592,190062592,190062592,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23470.700,23470.700,175341568,175521792,175521792,188563456,190062592,190062592,190062592,190062592,190062592,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23222.800,23222.800,175521792,175521792,175521792,188563456,190062592,190062592,190062592,190062592,190062592,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23210.100,23210.100,175521792,175534080,175534080,188563456,190062592,190062592,190062592,190062592,190062592,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23360.600,23360.600,175534080,175529984,175529984,188563456,190062592,190062592,190062592,190062592,190062592,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23582.000,23582.000,175529984,175529984,175529984,188563456,190062592,190062592,190062592,190062592,190062592,204468224
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23223.100,23223.100,175529984,175529984,175529984,188563456,190062592,190062592,190062592,190062592,190062592,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23396.200,23396.200,175529984,175591424,unavailable,188563456,190062592,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23803.600,23803.600,175591424,175579136,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23263.700,23263.700,175579136,175591424,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23267.200,23267.200,175591424,175570944,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23331.700,23331.700,175570944,175587328,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23199.000,23199.000,175587328,175575040,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23336.600,23336.600,175575040,175570944,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23160.000,23160.000,175570944,175607808,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23221.500,23221.500,175607808,175652864,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,23133.200,23133.200,175652864,175702016,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23184.700,23184.700,175702016,175730688,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,23541.600,23541.600,175730688,175726592,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,23157.200,23157.200,175726592,175718400,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,23073.100,23073.100,175718400,175734784,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23173.400,23173.400,175734784,175734784,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,23057.300,23057.300,175734784,175726592,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23232.100,23232.100,175726592,175734784,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,23127.400,23127.400,175734784,175730688,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,23133.700,23133.700,175734784,175734784,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,23065.700,23065.700,175734784,175734784,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,23153.300,23153.300,175734784,175788032,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,23180.900,23180.900,175788032,175800320,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,23071.100,23071.100,175800320,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,23269.800,23269.800,175849472,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,23164.200,23164.200,175849472,175882240,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23341.900,23341.900,175882240,175890432,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,23211.900,23211.900,175890432,175878144,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,23157.200,23157.200,175878144,175874048,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,23079.200,23079.200,175874048,175882240,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,23222.800,23222.800,175882240,175869952,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,23142.500,23142.500,175869952,175861760,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,23223.600,23223.600,175861760,175857664,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,23148.200,23148.200,175857664,175853568,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,23114.800,23114.800,175853568,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,23165.500,23165.500,175849472,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,23160.200,23160.200,175849472,175845376,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,23025.900,23025.900,175845376,175845376,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,23280.600,23280.600,175845376,175845376,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,23222.100,23222.100,175845376,175845376,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,23896.700,23896.700,175845376,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,23471.600,23471.600,175849472,175869952,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,23111.500,23111.500,175869952,175853568,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,23244.500,23244.500,175853568,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,43,1,23184.100,23184.100,175849472,175837184,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,44,1,23099.900,23099.900,175837184,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,45,1,24157.600,24157.600,175849472,175853568,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,46,1,23049.300,23049.300,175853568,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,47,1,23041.300,23041.300,175849472,175849472,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,48,1,23091.100,23091.100,175849472,175845376,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,49,1,23184.900,23184.900,175845376,175824896,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,50,1,23188.900,23188.900,175824896,175833088,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,51,1,23184.900,23184.900,175833088,175824896,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,52,1,23087.900,23087.900,175824896,175824896,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,53,1,23054.900,23054.900,175824896,175837184,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,54,1,23235.100,23235.100,175837184,175833088,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,55,1,23045.600,23045.600,175833088,175828992,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,56,1,23037.900,23037.900,175828992,175820800,unavailable,188563456,190066688,190066688,unavailable,190066688,190066688,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,57,1,23080.100,23080.100,175820800,176463872,unavailable,188563456,190066688,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,58,1,23078.100,23078.100,176463872,176496640,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,59,1,23544.900,23544.900,176496640,176623616,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,0,1,70.400,70.400,176734208,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,1,1,66.100,66.100,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,2,1,62.500,62.500,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,3,1,61.300,61.300,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,4,1,61.000,61.000,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,5,1,60.400,60.400,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,6,1,60.900,60.900,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,7,1,61.200,61.200,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,8,1,60.400,60.400,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,9,1,60.200,60.200,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,10,1,60.600,60.600,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,11,1,60.200,60.200,176746496,176746496,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,12,1,60.200,60.200,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,13,1,60.600,60.600,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,14,1,60.700,60.700,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,15,1,60.300,60.300,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,16,1,65.500,65.500,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,17,1,59.800,59.800,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,18,1,60.300,60.300,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,19,1,60.600,60.600,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,20,1,60.500,60.500,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,21,1,60.200,60.200,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,22,1,60.800,60.800,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,23,1,61.300,61.300,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,24,1,61.500,61.500,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,25,1,60.900,60.900,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,26,1,60.200,60.200,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,27,1,59.900,59.900,176750592,176750592,unavailable,188563456,190857216,190857216,unavailable,190857216,190857216,204468224
