engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,57245.000,57245.000,7589888,11108352,10461184,12189696,1589248,3289088,2633728,3289088,3289088,5619712
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,28835.000,28835.000,10469376,11505664,10665984,13889536,2633728,3751936,2899968,3751936,3751936,6004736
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,28662.700,28662.700,10665984,11513856,10678272,13950976,2899968,3833856,3014656,3833856,3833856,6115328
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,29050.600,29050.600,10678272,11538432,10706944,13975552,3014656,3833856,3108864,3833856,3833856,6139904
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,27801.800,27801.800,10706944,11538432,10702848,13979648,3108864,3809280,3256320,3809280,3809280,6139904
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,29713.500,29713.500,10702848,11530240,10711040,13979648,3256320,3817472,3252224,3817472,3817472,6139904
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,29387.000,29387.000,10711040,11526144,10706944,13979648,3252224,3801088,3235840,3801088,3801088,6139904
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,28571.900,28571.900,10706944,11550720,10715136,14004224,3235840,3919872,3272704,3919872,3919872,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,30868.400,30868.400,10715136,11538432,10711040,14004224,3272704,3805184,3203072,3805184,3805184,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,30470.400,30470.400,10715136,10883072,unavailable,14004224,3207168,3002368,unavailable,3002368,3002368,6160384
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,29410.300,29410.300,10883072,10821632,unavailable,14020608,3002368,2912256,unavailable,2912256,2912256,6217728
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,29769.300,29769.300,10821632,10862592,unavailable,14032896,2912256,3645440,unavailable,3645440,3645440,6217728
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,31131.900,31131.900,10862592,10928128,unavailable,14032896,3645440,3637248,unavailable,3637248,3637248,6217728
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,31278.400,31278.400,10928128,10895360,unavailable,14036992,3637248,3690496,unavailable,3690496,3690496,6217728
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,32385.000,32385.000,10895360,10792960,unavailable,14036992,3690496,2883584,unavailable,2883584,2883584,6217728
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,31740.100,31740.100,10792960,10825728,unavailable,14036992,2883584,2920448,unavailable,2920448,2920448,6217728
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,35099.900,35099.900,10825728,10907648,unavailable,14041088,2920448,3620864,unavailable,3620864,3620864,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,29631.200,29631.200,10915840,10903552,unavailable,14053376,3653632,3637248,unavailable,3637248,3637248,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,30186.200,30186.200,10903552,10887168,unavailable,14053376,3637248,3502080,unavailable,3502080,3502080,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,29395.800,29395.800,10891264,10883072,unavailable,14053376,3502080,3878912,unavailable,3878912,3878912,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,29585.500,29585.500,10883072,10858496,unavailable,14053376,3878912,2949120,unavailable,2949120,2949120,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,30398.800,30398.800,10858496,10874880,unavailable,14053376,2949120,3317760,unavailable,3317760,3317760,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,30510.000,30510.000,10874880,10899456,unavailable,14053376,3317760,3837952,unavailable,3837952,3837952,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,29356.500,29356.500,10899456,10936320,unavailable,14053376,3837952,3596288,unavailable,3596288,3596288,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,30692.700,30692.700,10936320,10977280,unavailable,14061568,3596288,3072000,unavailable,3072000,3072000,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,30597.300,30597.300,10977280,10919936,unavailable,14073856,3072000,3014656,unavailable,3014656,3014656,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,30917.000,30917.000,10919936,10969088,unavailable,14098432,3014656,3674112,unavailable,3674112,3674112,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,30419.300,30419.300,10969088,10944512,unavailable,14098432,3674112,3035136,unavailable,3035136,3035136,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,30165.200,30165.200,10944512,10989568,unavailable,14098432,3035136,3366912,unavailable,3366912,3366912,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,30516.500,30516.500,10989568,10964992,unavailable,14098432,3366912,3801088,unavailable,3801088,3801088,6287360
