engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2900870.500,2900870.500,4726784,91533312,87982080,128364544,692224,74842112,71401472,74842112,74842112,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23101.000,23101.000,87986176,91271168,87494656,128364544,71401472,75096064,71200768,75096064,75096064,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,22798.400,22798.400,87498752,90624000,87425024,128364544,71266304,74301440,71659520,74301440,74301440,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,22726.300,22726.300,87429120,90341376,87449600,128364544,71659520,74149888,71290880,74149888,74149888,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,22720.000,22720.000,87453696,90296320,87429120,128364544,71290880,73732096,71290880,73732096,73732096,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22702.400,22702.400,87433216,90329088,87470080,128364544,71290880,73629696,71303168,73629696,73629696,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,22901.600,22901.600,87470080,90337280,87437312,128364544,71303168,73629696,71290880,73629696,73629696,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23194.400,23194.400,87441408,90398720,87486464,128364544,71495680,73891840,71327744,73891840,73891840,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23865.600,23865.600,87490560,90374144,87519232,128364544,71327744,73707520,71573504,73707520,73707520,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23485.000,23485.000,87523328,87461888,unavailable,128364544,71573504,71278592,unavailable,71278592,71278592,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23399.500,23399.500,87461888,87543808,unavailable,128364544,71278592,71618560,unavailable,71618560,71618560,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23495.600,23495.600,87547904,87572480,unavailable,128364544,71618560,71430144,unavailable,71430144,71430144,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,24106.900,24106.900,87576576,87625728,unavailable,128364544,71430144,71745536,unavailable,71745536,71745536,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23597.200,23597.200,87625728,87568384,unavailable,128364544,71745536,71426048,unavailable,71426048,71426048,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23890.400,23890.400,87568384,87629824,unavailable,128364544,71426048,71340032,unavailable,71340032,71340032,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23819.500,23819.500,87633920,87756800,unavailable,128364544,71524352,72146944,unavailable,72146944,72146944,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23820.300,23820.300,87760896,87801856,unavailable,128364544,72146944,71565312,unavailable,71565312,71565312,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23672.600,23672.600,87801856,87818240,unavailable,128364544,71565312,71581696,unavailable,71581696,71581696,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,24592.800,24592.800,87822336,87756800,unavailable,128364544,71581696,70877184,unavailable,70877184,70877184,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23615.200,23615.200,87756800,87707648,unavailable,128364544,70877184,71577600,unavailable,71577600,71577600,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,23713.600,23713.600,87711744,87715840,unavailable,128364544,71577600,71593984,unavailable,71593984,71593984,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,23300.100,23300.100,87719936,87744512,unavailable,128364544,71593984,71618560,unavailable,71618560,71618560,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,23590.600,23590.600,87744512,87752704,unavailable,128364544,71618560,71655424,unavailable,71655424,71655424,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23285.700,23285.700,87756800,87805952,unavailable,128364544,71655424,71733248,unavailable,71733248,71733248,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,23191.200,23191.200,87805952,87822336,unavailable,128364544,71733248,71688192,unavailable,71688192,71688192,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23397.000,23397.000,87826432,87883776,unavailable,128364544,71688192,71696384,unavailable,71696384,71696384,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,23553.000,23553.000,87883776,87965696,unavailable,128364544,71696384,71745536,unavailable,71745536,71745536,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,23800.100,23800.100,87969792,87937024,unavailable,128364544,71745536,71753728,unavailable,71753728,71753728,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,23708.100,23708.100,87937024,87883776,unavailable,128364544,71753728,71659520,unavailable,71659520,71659520,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,23982.500,23982.500,87887872,87875584,unavailable,128364544,71659520,71294976,unavailable,71294976,71294976,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,23807.200,23807.200,87879680,87875584,unavailable,128364544,71294976,71024640,unavailable,71024640,71024640,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,23682.700,23682.700,87875584,87928832,unavailable,128364544,71024640,71647232,unavailable,71647232,71647232,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,23501.700,23501.700,87928832,87871488,unavailable,128364544,71647232,71634944,unavailable,71634944,71634944,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,23483.000,23483.000,87875584,88002560,unavailable,128364544,71778304,71811072,unavailable,71811072,71811072,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23500.300,23500.300,88006656,88059904,unavailable,128364544,71811072,71946240,unavailable,71946240,71946240,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,23619.900,23619.900,88059904,87977984,unavailable,128364544,71946240,71974912,unavailable,71974912,71974912,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,24400.900,24400.900,88043520,88035328,unavailable,128364544,71974912,71045120,unavailable,71045120,71045120,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,23599.600,23599.600,88035328,88055808,unavailable,128364544,71045120,71135232,unavailable,71135232,71135232,112353280
