engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,284.954,304.727,310.703,310.703,95322112,128364544,78483456,112353280
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,548.000,556.010,559.210,559.210,97726464,128364544,81047552,112353280
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,25.000,26.200,31.267,31.267,93446144,128364544,76791808,112353280
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,72.100,82.000,89.100,89.100,91762688,128364544,75096064,112353280
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,51.950,57.050,78.950,78.950,92430336,128364544,75726848,112353280
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,483.286,508.802,517.219,517.219,96296960,128364544,79372288,112353280
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,61.075,63.263,67.675,67.675,94564352,128364544,77799424,112353280
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,552.990,566.350,602.880,602.880,99090432,128364544,82403328,112353280
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,23798.100,25342.700,25382.400,25382.400,88080384,128364544,71688192,112353280
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,22901.600,2900870.500,2900870.500,2900870.500,90374144,128364544,73891840,112353280
