engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,5895877.800,5895877.800,4722688,828637184,815886336,1049112576,692224,861310976,848433152,861310976,861310976,1354813440
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,205608.800,205608.800,815923200,832049152,819200000,1049112576,848433152,864374784,851496960,864374784,864374784,1354813440
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,204540.200,204540.200,819212288,833429504,820580352,1049112576,851509248,866185216,853307392,866185216,866185216,1354813440
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,205566.900,205566.900,820580352,833433600,820584448,1049112576,853307392,866185216,853307392,866185216,866185216,1354813440
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,205192.400,205192.400,820588544,833568768,820719616,1049112576,853307392,866447360,853569536,866447360,866447360,1354813440
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,210536.200,210536.200,820723712,833576960,820727808,1049112576,853569536,866451456,853573632,866451456,866451456,1354813440
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,208050.100,208050.100,820727808,833576960,820727808,1049112576,853573632,866451456,853573632,866451456,866451456,1354813440
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,204413.300,204413.300,820731904,833581056,820731904,1049112576,853573632,866451456,853573632,866451456,866451456,1354813440
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,206772.400,206772.400,820731904,833581056,820731904,1049112576,853573632,866455552,853573632,866455552,866455552,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,252449.300,252449.300,820731904,820736000,unavailable,1049112576,853573632,853573632,unavailable,853573632,853573632,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,241176.500,241176.500,820736000,820744192,unavailable,1049112576,853573632,853573632,unavailable,853573632,853573632,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,244225.700,244225.700,820744192,820744192,unavailable,1049112576,853573632,853573632,unavailable,853573632,853573632,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,242439.100,242439.100,820744192,820744192,unavailable,1049112576,853573632,853573632,unavailable,853573632,853573632,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,247032.500,247032.500,820744192,820744192,unavailable,1049112576,853573632,853573632,unavailable,853573632,853573632,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,255476.700,255476.700,820744192,820752384,unavailable,1049112576,853573632,853581824,unavailable,853581824,853581824,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,253305.000,253305.000,820752384,820752384,unavailable,1049112576,853581824,853581824,unavailable,853581824,853581824,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,244229.700,244229.700,820752384,820760576,unavailable,1049112576,853581824,853590016,unavailable,853590016,853590016,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,256481.700,256481.700,820764672,820834304,unavailable,1049112576,853590016,853590016,unavailable,853590016,853590016,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,254674.600,254674.600,820838400,820838400,unavailable,1049112576,853590016,853590016,unavailable,853590016,853590016,1354813440
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,256204.600,256204.600,820838400,820838400,unavailable,1049112576,853590016,853590016,unavailable,853590016,853590016,1354813440
